id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id
E00285,698.6,00:11:38.600,00h11m38s600ms,abrupt_change,17465,3493,"100,71,204,99",0.039375,2.4163,0.039107,2.3813,event_frames_full/E00285_00h11m38s600ms_abrupt_change.jpg,event_crops/E00285_00h11m38s600ms_abrupt_change_DETAIL.jpg,"550,397,1274,625",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00285_00h11m38s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00285_00h11m38s600ms_abrupt_change_DETAIL.jpg,GE00285
E00286,699.0,00:11:39.000,00h11m39s000ms,abrupt_change,17475,3495,"100,89,204,107",0.041406,2.6994,0.041473,2.6755,event_frames_full/E00286_00h11m39s000ms_abrupt_change.jpg,event_crops/E00286_00h11m39s000ms_abrupt_change_DETAIL.jpg,"550,505,1274,673",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00286_00h11m39s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00286_00h11m39s000ms_abrupt_change_DETAIL.jpg,GE00286
E00287,699.6,00:11:39.600,00h11m39s600ms,abrupt_change,17490,3498,"100,97,204,114",0.039263,2.5939,0.039263,2.5872,event_frames_full/E00287_00h11m39s600ms_abrupt_change.jpg,event_crops/E00287_00h11m39s600ms_abrupt_change_DETAIL.jpg,"550,553,1274,715",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00287_00h11m39s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00287_00h11m39s600ms_abrupt_change_DETAIL.jpg,GE00287
E00288,700.0,00:11:40.000,00h11m40s000ms,abrupt_change,17500,3500,"100,72,204,114",0.04404,2.7375,0.039308,2.4003,event_frames_full/E00288_00h11m40s000ms_abrupt_change.jpg,event_crops/E00288_00h11m40s000ms_abrupt_change_DETAIL.jpg,"550,403,1274,715",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00288_00h11m40s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00288_00h11m40s000ms_abrupt_change_DETAIL.jpg,GE00288
E00289,703.4,00:11:43.400,00h11m43s400ms,motion_progress,17585,3517,"100,72,206,123",0.036451,2.0703,0.028371,1.5549,event_frames_full/E00289_00h11m43s400ms_motion_progress.jpg,event_crops/E00289_00h11m43s400ms_motion_progress_DETAIL.jpg,"550,403,1286,769",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00289_00h11m43s400ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00289_00h11m43s400ms_motion_progress_DETAIL.jpg,GE00289
E00290,704.8,00:11:44.800,00h11m44s800ms,abrupt_change,17620,3524,"100,82,206,106",0.051317,3.8007,0.051049,3.6938,event_frames_full/E00290_00h11m44s800ms_abrupt_change.jpg,event_crops/E00290_00h11m44s800ms_abrupt_change_DETAIL.jpg,"550,463,1286,667",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00290_00h11m44s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00290_00h11m44s800ms_abrupt_change_DETAIL.jpg,GE00290
E00291,705.4,00:11:45.400,00h11m45s400ms,stable_change,17635,3527,"100,94,204,112",0.041429,2.5972,0.0,0.0094,event_frames_full/E00291_00h11m45s400ms_stable_change.jpg,event_crops/E00291_00h11m45s400ms_stable_change_DETAIL.jpg,"550,535,1274,703",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00291_00h11m45s400ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00291_00h11m45s400ms_stable_change_DETAIL.jpg,GE00291
E00292,705.8,00:11:45.800,00h11m45s800ms,abrupt_change,17645,3529,"100,94,204,112",0.041429,2.6207,0.041429,2.6207,event_frames_full/E00292_00h11m45s800ms_abrupt_change.jpg,event_crops/E00292_00h11m45s800ms_abrupt_change_DETAIL.jpg,"550,535,1274,703",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00292_00h11m45s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00292_00h11m45s800ms_abrupt_change_DETAIL.jpg,GE00292
E00293,706.4,00:11:46.400,00h11m46s400ms,abrupt_change,17660,3532,"100,94,204,112",0.041429,2.6023,0.041429,2.5991,event_frames_full/E00293_00h11m46s400ms_abrupt_change.jpg,event_crops/E00293_00h11m46s400ms_abrupt_change_DETAIL.jpg,"550,535,1274,703",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00293_00h11m46s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00293_00h11m46s400ms_abrupt_change_DETAIL.jpg,GE00293
E00294,706.8,00:11:46.800,00h11m46s800ms,abrupt_change,17670,3534,"100,69,216,124",0.057031,3.0832,0.057031,3.0832,event_frames_full/E00294_00h11m46s800ms_abrupt_change.jpg,event_crops/E00294_00h11m46s800ms_abrupt_change_DETAIL.jpg,"550,384,1346,775",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00294_00h11m46s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00294_00h11m46s800ms_abrupt_change_DETAIL.jpg,GE00294
