chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH13-E0024,00:37:15.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0024_00h37m15s000ms_stable_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0024_00h37m15s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0025,00:37:17.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0025_00h37m17s200ms_motion_progress.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0025_00h37m17s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0026,00:37:19.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0026_00h37m19s400ms_settled.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0026_00h37m19s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0027,00:37:23.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0027_00h37m23s000ms_motion_progress.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0027_00h37m23s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0028,00:37:23.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0028_00h37m23s400ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0029,00:37:24.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0029_00h37m24s000ms_stable_change.jpg,,,,,,,,,,
CH13-E0030,00:37:34.800,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0030_00h37m34s800ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0031,00:37:35.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0031_00h37m35s200ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0032,00:37:35.600,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0032_00h37m35s600ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0033,00:37:36.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0033_00h37m36s200ms_stable_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0033_00h37m36s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0034,00:37:37.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0034_00h37m37s400ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0035,00:37:37.800,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0035_00h37m37s800ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0036,00:37:39.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0036_00h37m39s200ms_settled.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0036_00h37m39s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0037,00:37:40.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0037_00h37m40s000ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0038,00:37:40.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0038_00h37m40s400ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0039,00:37:45.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0039_00h37m45s200ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0039_00h37m45s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0040,00:37:48.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0040_00h37m48s400ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0040_00h37m48s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0041,00:37:49.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0041_00h37m49s000ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0041_00h37m49s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0042,00:38:06.600,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0042_00h38m06s600ms_settled.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0042_00h38m06s600ms_DETAIL.jpg,,,,,,,,,
CH13-E0043,00:38:11.800,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0043_00h38m11s800ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0044,00:38:14.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0044_00h38m14s400ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0044_00h38m14s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0045,00:38:15.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0045_00h38m15s000ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0045_00h38m15s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0046,00:38:15.600,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0046_00h38m15s600ms_stable_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0046_00h38m15s600ms_DETAIL.jpg,,,,,,,,,
CH13-E0047,00:38:16.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0047_00h38m16s000ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0048,00:38:17.600,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0048_00h38m17s600ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0048_00h38m17s600ms_DETAIL.jpg,,,,,,,,,
CH13-E0049,00:38:19.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0049_00h38m19s000ms_settled.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0049_00h38m19s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0050,00:38:19.600,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0050_00h38m19s600ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0050_00h38m19s600ms_DETAIL.jpg,,,,,,,,,
CH13-E0051,00:38:20.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0051_00h38m20s200ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0051_00h38m20s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0052,00:38:22.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0052_00h38m22s400ms_settled.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0052_00h38m22s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0053,00:38:23.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0053_00h38m23s400ms_motion_progress.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0053_00h38m23s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0054,00:38:24.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0054_00h38m24s200ms_stable_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0054_00h38m24s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0055,00:38:25.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0055_00h38m25s200ms_settled.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0055_00h38m25s200ms_DETAIL.jpg,,,,,,,,,
